date,title,amount
2026-05-31,Shopbox Outlet - Parcela 1/2,99.78
2026-05-27,Posto Farol do Parque,298.61
2026-05-27,Garagem,190.00
2026-05-24,W G Distribuidora,301.30
2026-05-23,Mercado*Mercadolivre,617.08
2026-05-22,Subway Campo Comprido,43.00
2026-05-20,Sao Braz,157.41
2026-05-18,Anomaly,27.66
2026-05-18,"IOF de ""Anomaly""",0.96
2026-05-16,Mp *Melimais,74.90
2026-05-13,Festval Shopping,566.68
2026-05-12,Farmacia Unipreco,116.28
2026-05-10,Google One,14.99
2026-05-10,Farmacias Unipreco,493.36
2026-05-09,Dm*Spotify,12.90
2026-05-08,Tim Pos,82.99
2026-05-05,Posto Perola,290.89
2026-05-05,Mercado*Novaesmotopec,157.03
2026-05-02,Pagamento recebido,-3610.34
2026-05-01,Ps Car Center Pecas e - Parcela 6/6,330.33
2026-05-01,Doutorcambio - Parcela 2/2,150.00
2026-05-01,Festval Shopping,278.77
2026-05-01,Mercadolivre*Ohmybag - Parcela 7/12,31.54
2026-05-01,Casa Legal Fazenda - Parcela 4/4,103.50
2026-05-01,Pneu Free Com - Parcela 6/10,256.69
2026-05-01,Globo Auto Locadora - Parcela 3/5,157.22
2026-05-01,Panvel Farmacias,62.38
