date,title,amount
2026-06-15,IOF de compra internacional,"0,95"
2026-06-15,Anomaly,"27,22"
2026-06-15,Mercado*Mercadolivre - Parcela 1/2,"250,19"
2026-06-15,Ec *Melimais,"74,90"
2026-06-15,Mercado*Mercadolivre - Parcela 1/2,"29,11"
2026-06-10,Google One,"14,99"
2026-06-10,Mercadolivre*Mercadol,"152,72"
2026-06-09,Dm*Spotify,"23,90"
2026-06-08,Tim Pos,"82,99"
2026-06-08,Mercado*Mercadolivre,"77,90"
2026-06-07,Morifarma Osternack,"253,95"
2026-06-06,Pagamento recebido,"- 4.916,26"
2026-06-05,Mercadolivre*Mercadol,"169,97"
2026-06-04,IOF de compra internacional,"0,79"
2026-06-04,Railway,"22,60"
2026-06-01,Mercadolivre*Ohmybag - Parcela 8/12,"31,54"
2026-06-01,Shopbox Outlet - Parcela 2/2,"99,78"
2026-06-01,Pneu Free Com - Parcela 7/10,"256,69"
2026-06-01,Globo Auto Locadora - Parcela 4/5,"157,22"
