date,title,amount
2026-08-10,Google One,"14,99"
2026-08-10,Morifarma Osternack,"191,97"
2026-08-10,Morifarma Osternack,"29,99"
2026-08-10,Farmacia Nissei,"73,36"
2026-08-10,Mercado*Andreiabranco,"138,52"
2026-08-10,Mercadolivre*Potesecia,"53,47"
2026-08-09,Dm*Spotify,"23,90"
2026-08-08,Tim Pos,"64,99"
2026-08-05,Pagamento recebido,"- 2.731,62"
2026-08-01,Mercadolivre*Mercadol - Parcela 1/2,"301,15"
2026-08-01,Mercadolivre*Mercadol - Parcela 1/2,"55,29"
2026-08-01,Mercadolivre*Ohmybag - Parcela 10/12,"31,54"
2026-08-01,Mag*Magalu-Magazine Lu - Parcela 2/2,"256,40"
2026-08-01,Pneu Free Com - Parcela 9/10,"256,69"
