date,title,amount
2026-07-31,"IOF de ""Railway""","0,92"
2026-07-31,Railway,"26,38"
2026-07-28,Emporio Batel,"32,90"
2026-07-28,Posto 2 Irmaos,"48,30"
2026-07-28,Dl*Uberrides,"37,03"
2026-07-20,"IOF de ""Anomaly""","0,96"
2026-07-20,Anomaly,"27,68"
2026-07-19,Supermercado Jacomar G,"72,42"
2026-07-15,Mp *Melimais,"74,90"
2026-07-13,Anthropic* Claude Sub,"114,29"
2026-07-13,"IOF de ""Anthropic* Claude Sub""","4,00"
2026-07-12,Casa China,"64,98"
2026-07-10,Google One,"14,99"
2026-07-09,Dm*Spotify,"23,90"
2026-07-09,Mag*Magalu-Magazine Lu - Parcela 1/2,"256,40"
2026-07-08,Mercadolivre*Multimov,"941,83"
2026-07-08,Tim Pos,"82,99"
2026-07-08,Farmacias Unipreco,"154,13"
2026-07-07,Pagamento recebido,"- 1.748,40"
2026-07-01,"IOF de ""Railway""","0,94"
2026-07-01,Railway,"26,92"
2026-07-01,Pneu Free Com - Parcela 8/10,"256,69"
2026-07-01,Mercadolivre*Ohmybag - Parcela 9/12,"31,54"
2026-07-01,Mercado*Mercadolivre - Parcela 2/2,"250,19"
2026-07-01,Mercado*Mercadolivre - Parcela 2/2,"29,11"
2026-07-01,Globo Auto Locadora - Parcela 5/5,"157,22"
